CODES SITE PLOT DATE SAMPLE_ID NUMBER_FLOWERS_COLLECTED COMMENTS1 COMMENTS2 COMMENTS3 D RECODE
SB 6 10 20200721 SB-06-10-20200721 na na na NA 2020-07-21 SB
SB 6 11 20200721 SB-06-11-20200721 na na na NA 2020-07-21 SB
SB 6 12 20200721 SB-06-12-20200721 na na na NA 2020-07-21 SB
FH 11 1 20200402 FH-11-01-20200402 23 na na NA 2020-04-02 FH
FH 11 3 20200402 FH-11-03-20200402 1 na na NA 2020-04-02 FH
FH 11 5 20200402 FH-11-05-20200402 1 na na NA 2020-04-02 FH
FH 11 1 20200417 FH-11-01-20200417 18 na na NA 2020-04-17 FH
FH 11 3 20200417 FH-11-03-20200417 1 na na NA 2020-04-17 FH
FH 11 6 20200417 FH-11-05-20200417 2 na na NA 2020-04-17 FH
FH 11 1 20200501 FH-11-01-20200501 17 na na NA 2020-05-01 FH
FH 11 3 20200501 FH-11-03-20200501 2 na na NA 2020-05-01 FH
FH 11 1 20200513 FH-11-01-20200513 3 na na NA 2020-05-13 FH
FH 11 3 20200513 FH-11-03-20200513 1 na na NA 2020-05-13 FH
FH 27 1 20200505 FH-27-1-20200505 1 na na NA 2020-05-05 FH
FH 27 4 20200505 FH-27-4-20200505 1 na na NA 2020-05-05 FH
FH 27 7 20200505 FH-27-7-20200505 1 na na NA 2020-05-05 FH
FH 27 8 20200505 FH-27-8-20200505 2 na na NA 2020-05-05 FH
FH 27 10 20200505 FH-27-10-20200505 1 na na NA 2020-05-05 FH
FH 27 11 20200505 FH-27-11-20200505 2 na na NA 2020-05-05 FH
FH 27 12 20200505 FH-27-12-20200505 2 na na NA 2020-05-05 FH
FH 27 7 20200609 FH-27-7-20200609 5 na na NA 2020-06-09 FH
FH 27 8 20200609 FH-27-8-20200609 1 na na NA 2020-06-09 FH
FH 27 9 20200609 FH-27-9-20200609 1 na na NA 2020-06-09 FH
FH 27 10 20200609 FH-27-10-20200609 1 na na NA 2020-06-09 FH
FH 27 11 20200609 FH-27-11-20200609 1 na na NA 2020-06-09 FH
FH 27 12 20200609 FH-27-12-20200609 6 na na NA 2020-06-09 FH
FH 27 6 20200623 FH-27-6-20200623 1 na na NA 2020-06-23 FH
FH 27 8 20200623 FH-27-8-20200623 1 na na NA 2020-06-23 FH
FH 27 11 20200623 FH-27-11-20200623 3 na na NA 2020-06-23 FH
FH 27 12 20200623 FH-27-12-20200623 7 na na NA 2020-06-23 FH
SB 27 1 20200809 SB-27-1-20200809 na na na NA 2020-08-09 SB
SB 27 2 20200809 SB-27-2-20200809 na na na NA 2020-08-09 SB
SB 27 3 20200809 SB-27-3-20200809 na na na NA 2020-08-09 SB
SB 27 4 20200809 SB-27-4-20200809 na na na NA 2020-08-09 SB
