"sampleid","code","site","plot","date","year","month","day","flowerscollected","isreplicate","isfailedlabwork","isdispersion","sampleid_alternative","generation","generation_merge57","mapped_reads","coverage","usesample","weighted_mean_coverage"
"MLFH010520200323","FH",1,5,"20200323",2020,3,23,6,FALSE,FALSE,FALSE,NA,3,3,9125742,9.125742,TRUE,8.59792440277778
"MLFH010520200406","FH",1,5,"20200406",2020,4,6,35,FALSE,FALSE,FALSE,NA,3,3,7599139,7.599139,TRUE,8.59792440277778
"MLFH010520200420","FH",1,5,"20200420",2020,4,20,20,FALSE,FALSE,FALSE,NA,3,3,9108222,9.108222,TRUE,8.59792440277778
"MLFH010520200504","FH",1,5,"20200504",2020,5,4,7,FALSE,FALSE,FALSE,NA,3,3,10628964,10.628964,TRUE,8.59792440277778
"MLFH010520200518","FH",1,5,"20200518",2020,5,18,4,FALSE,FALSE,FALSE,NA,3,3,10439763,10.439763,TRUE,8.59792440277778
"MLFH010620180409","FH",1,6,"20180409",2018,4,9,39,FALSE,FALSE,FALSE,NA,1,1,5158447,5.158447,TRUE,5.12671121674877
"MLFH010620180423","FH",1,6,"20180423",2018,4,23,82,FALSE,FALSE,FALSE,NA,1,1,5292061,5.292061,TRUE,5.12671121674877
"MLFH010620180507","FH",1,6,"20180507",2018,5,7,49,FALSE,FALSE,FALSE,NA,1,1,3909608,3.909608,TRUE,5.12671121674877
"MLFH010620180518","FH",1,6,"20180518",2018,5,18,33,FALSE,FALSE,FALSE,NA,1,1,6485550,6.48555,TRUE,5.12671121674877
"MLFH010620190401","FH",1,6,"20190401",2019,4,1,16,FALSE,FALSE,FALSE,NA,2,2,9574166,9.574166,TRUE,2.60421079710145
"MLFH010620190415","FH",1,6,"20190415",2019,4,15,100,FALSE,FALSE,FALSE,NA,2,2,2601346,2.601346,TRUE,2.60421079710145
"MLFH010620190429","FH",1,6,"20190429",2019,4,29,50,FALSE,FALSE,FALSE,NA,2,2,1669953,1.669953,TRUE,2.60421079710145
"MLFH010620190513","FH",1,6,"20190513",2019,5,13,78,FALSE,FALSE,FALSE,NA,2,2,2114979,2.114979,TRUE,2.60421079710145
"MLFH010620190528","FH",1,6,"20190528",2019,5,28,32,FALSE,FALSE,FALSE,NA,2,2,1780466,1.780466,TRUE,2.60421079710145
"MLFH010620200323","FH",1,6,"20200323",2020,3,23,4,FALSE,FALSE,FALSE,NA,3,3,7025965,7.025965,TRUE,6.374848
"MLFH010620200406","FH",1,6,"20200406",2020,4,6,15,FALSE,FALSE,FALSE,NA,3,3,6883913,6.883913,TRUE,6.374848
"MLFH010620200420","FH",1,6,"20200420",2020,4,20,12,FALSE,FALSE,FALSE,NA,3,3,6647750,6.64775,TRUE,6.374848
"MLFH010620200504","FH",1,6,"20200504",2020,5,4,7,FALSE,FALSE,FALSE,NA,3,3,5968531,5.968531,TRUE,6.374848
"MLFH010620200518","FH",1,6,"20200518",2020,5,18,6,FALSE,FALSE,FALSE,NA,3,3,4596340,4.59634,TRUE,6.374848
"MLFH010720180409","FH",1,7,"20180409",2018,4,9,39,FALSE,FALSE,FALSE,NA,1,1,5421415,5.421415,TRUE,4.99263724409449
"MLFH010720180423","FH",1,7,"20180423",2018,4,23,96,FALSE,FALSE,FALSE,NA,1,1,5147357,5.147357,TRUE,4.99263724409449
"MLFH010720180507","FH",1,7,"20180507",2018,5,7,73,FALSE,FALSE,FALSE,NA,1,1,4063233,4.063233,TRUE,4.99263724409449
"MLFH010720180518","FH",1,7,"20180518",2018,5,18,46,FALSE,FALSE,FALSE,NA,1,1,5781139,5.781139,TRUE,4.99263724409449
"MLFH010720190401","FH",1,7,"20190401",2019,4,1,17,FALSE,FALSE,FALSE,NA,2,2,1211596,1.211596,TRUE,1.22426332631579
