SITE PLOT DATE RECORD_ID DIAGONAL_PLANT_NUMBER OFF.DIAGONAL_PLANT_NUMBER TOTAL_PLANT_NUMBER..OPTIONAL. MEAN_FRUITS_PER_PLANT..OPTIONAL. SD_FRUITS_PER_PLANT..OPTIONAL. COMMENTS COMMENTS2 D
52 1 20200320 52-01-20200320   32    NA 2020-03-20
52 2 20200320 52-02-20200320   13    NA 2020-03-20
52 3 20200320 52-03-20200320   120    NA 2020-03-20
52 4 20200320 52-04-20200320   27    NA 2020-03-20
52 5 20200320 52-05-20200320   4    NA 2020-03-20
52 6 20200320 52-06-20200320   61    NA 2020-03-20
52 7 20200320 52-07-20200320   55    NA 2020-03-20
52 8 20200320 52-08-20200320   24    NA 2020-03-20
52 9 20200320 52-09-20200320   130    NA 2020-03-20
52 10 20200320 52-10-20200320   90    NA 2020-03-20
52 11 20200320 52-11-20200320   50    NA 2020-03-20
52 12 20200320 52-12-20200320   130    NA 2020-03-20
52 1 20200327 52-01-20200327   7   today after 2 weeks of sunshine without rain, many plants are dying and wilting NA 2020-03-27
52 2 20200327 52-02-20200327   11    NA 2020-03-27
52 3 20200327 52-03-20200327   130    NA 2020-03-27
52 4 20200327 52-04-20200327   12    NA 2020-03-27
52 5 20200327 52-05-20200327   5    NA 2020-03-27
52 6 20200327 52-06-20200327   53    NA 2020-03-27
52 7 20200327 52-07-20200327   40    NA 2020-03-27
52 8 20200327 52-08-20200327   21    NA 2020-03-27
52 9 20200327 52-09-20200327   33    NA 2020-03-27
52 10 20200327 52-10-20200327   51    NA 2020-03-27
52 11 20200327 52-11-20200327   29    NA 2020-03-27
52 12 20200327 52-12-20200327   88    NA 2020-03-27
52 1 20200403 52-01-20200403   4   another week without rain, many plants are dyign or dead NA 2020-04-03
52 2 20200403 52-02-20200403   20    NA 2020-04-03
52 3 20200403 52-03-20200403   130    NA 2020-04-03
52 4 20200403 52-04-20200403   9    NA 2020-04-03
52 5 20200403 52-05-20200403   21    NA 2020-04-03
52 6 20200403 52-06-20200403   60    NA 2020-04-03
52 7 20200403 52-07-20200403   49    NA 2020-04-03
52 8 20200403 52-08-20200403   50    NA 2020-04-03
52 9 20200403 52-09-20200403   50    NA 2020-04-03
52 10 20200403 52-10-20200403   70    NA 2020-04-03
52 11 20200403 52-11-20200403   21    NA 2020-04-03
52 12 20200403 52-12-20200403   84    NA 2020-04-03
11 1 20200402 11-1-20200402 2 3 23    NA 2020-04-02
11 2 20200402 11-2-20200402 0 0 0    NA 2020-04-02
11 3 20200402 11-3-20200402 1 0 1    NA 2020-04-02
11 4 20200402 11-4-20200402 0 0 0    NA 2020-04-02
11 5 20200402 11-5-20200402 0 0 1    NA 2020-04-02
11 6 20200402 11-6-20200402 0 0 0    NA 2020-04-02
11 7 20200402 11-7-20200402 0 0 0    NA 2020-04-02
11 8 20200402 11-8-20200402 0 0 0    NA 2020-04-02
11 9 20200402 11-9-20200402 0 0 0    NA 2020-04-02
11 10 20200402 11-10-20200402 0 0 0    NA 2020-04-02
11 11 20200402 11-11-20200402 0 0 0    NA 2020-04-02
11 12 20200402 11-12-20200402 0 0 0    NA 2020-04-02
27 1 20200505 27-1-20200505   1    NA 2020-05-05
27 2 20200505 27-2-20200505   0    NA 2020-05-05
27 3 20200505 27-3-20200505   0    NA 2020-05-05
27 4 20200505 27-4-20200505   1    NA 2020-05-05
27 5 20200505 27-5-20200505   0    NA 2020-05-05
27 6 20200505 27-6-20200505   1    NA 2020-05-05
27 7 20200505 27-7-20200505   3    NA 2020-05-05
27 8 20200505 27-8-20200505   4    NA 2020-05-05
27 9 20200505 27-9-20200505   1    NA 2020-05-05
27 10 20200505 27-10-20200505   5    NA 2020-05-05
27 11 20200505 27-11-20200505   13    NA 2020-05-05
27 12 20200505 27-12-20200505   15    NA 2020-05-05
28 1 20200227 28-01-20200227 8 5     NA 2020-02-27
