id	dataset	country	commonname	cs	longitude	latitude
9719	1001G	BUL	Koren-1	CS76983	25.69	41.83
9723	1001G	BUL	Slavi-2	CS77252	23.67	41.42
9726	1001G	GRC	Faneronemi-3	CS76853	22.04	37.07
9736	1001G	ROU	Teiu-2	CS77361	25.17	44.69
9737	1001G	ROU	Ulies-1	CS78815	22.62	45.95
9739	1001G	ROU	Toc-1	CS77370	22.33	46.01
9741	1001G	ROU	Orast-1	CS77151	23.16	45.84
9743	1001G	ROU	Furni-1	CS76873	25	45.14
9748	1001G	SRB	Zagub-1	CS78871	21.71	44.23
9749	1001G	SRB	Knjas-1	CS76971	22.29	43.54
9758	1001G	CHN	Altai-5	CS76433	88.4	47.75
9759	1001G	IRN	Anz-0	CS76439	49.47	37.47
9761	1001G	LBN	Bik-1	CS76449	35.7	33.92
9764	1001G	LBN	Qar-8a	CS76581	35.84	34.1
9766	1001G	KGZ	Westkar-4	CS76629	74.16	42.26
9769	1001G	GER	HE-1	CS76916	8.99	48.55
9774	1001G	GER	Alt-1	CS76663	9.22	48.59
9775	1001G	GER	Berg-1	CS76701	8.79	48.41
9779	1001G	GER	Bai-10	CS76682	8.78	48.5
9781	1001G	GER	Kus2-2	CS76990	9.11	48.52
9782	1001G	GER	Lu3-30	CS77057	9.09	48.53
9784	1001G	GER	Erg2-6	CS76845	8.8	48.5
9803	1001G	GER	Müh-2	CS77113	8.76	48.42
9804	1001G	GER	Obe1-15	CS77139	8.87	48.45
9813	1001G	GER	BI-4	CS76706	8.77	48.4
9814	1001G	GER	Fell1-10	CS76855	8.79	48.42
9820	1001G	ESP	Are-0	CS76671	-4.71	41
9837	1001G	ESP	Con-0	CS76780	-5.6	37.94
9857	1001G	ESP	Leg-0	CS77019	-3.8	40.33
9879	1001G	ESP	Per-0	CS77169	-1.12	37.6
9910	1001G	FRA	BRI-2	CS76725	3.52	50.68
9920	1001G	FRA	DIR-9	CS76796	4.32	48.54
9921	1001G	FRA	FOR-23	CS76867	4.41	48.57
9925	1001G	FRA	RUM-20	CS77226	4.52	48.91
9933	1001G	FRA	VED-10	CS78839	3.89	43.74
9940	NA	NA	NA	NA	NA	NA
9941	1001G	POR	Fei-0	CS76412	-8.54	40.92
9944	1001G	ESP	Don-0	CS76411	-6.36	36.83
9947	1001G	ESP	Ped-0	CS76415	-3.9	40.74
9965	1001G	ITA	Mammo-2	CS76364	16.22	38.38
9966	1001G	ITA	Monte-1	CS76361	15.65	40.28
9977	NA	NA	NA	NA	NA	NA
9978	1001G	ITA	Vezzano-2.2	CS76350	10.82	46.63
9985	1001G	BUL	Slavi-1	CS76419	23.65	41.43
9992	NA	NA	NA	NA	NA	NA
10002	1001G	GER	TueWal-2	CS76405	9.04	48.53
10006	1001G	UKR	Kastel-1	CS76395	34.3814	44.6419
10011	1001G	ARM	Yeg-1	CS76394	45.3622	39.8692
10013	1001G	AZE	Lerik1-3	CS76388	48.6131	38.7406
10014	1001G	AZE	Xan-1	CS76387	48.7992	38.6536
