ecotype,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
9848,14.4828797575,21.2328126516667,54.5097166029556,651.591732911579,36.12801,-2.8243346,38.9523446,7.31445486333333,22.8229478333333,22.8229478333333,6.86307173333333,1154.259286,205.08752,15.062895,64.1700599530525,529.68732,59.603086,59.603086,447.51359
9849,12.5400430458333,21.274092575,55.8539751432461,651.881420002267,34.049446,-4.0393248,38.0887708,5.43561368333333,21.0364277833333,21.0364277833333,4.95373328333333,672.934419,84.86244,21.555714,42.1586661279696,246.780035,76.347148,76.347148,205.674647
9850,9.28653875875,21.4008974825,59.6044621106704,588.65493876225,28.210821,-7.694037,35.904858,3.1974834,16.8636534333333,16.8636534333333,2.32435916666667,1498.591943,157.59885,98.216835,16.1497576837569,444.59073,327.80396,327.80396,398.447774
9851,8.98296106958333,19.9881471941667,57.1249706536962,536.945004991676,26.881134,-8.109076,34.99021,3.11854035,15.6022401666667,15.6022401666667,2.47506308333333,1085.888423,124.32184,55.891113,26.6425290137978,361.70809,190.786523,190.786523,300.63568
9852,15.2553477829167,22.8742739341667,55.9090337774845,707.149175238851,38.01248,-2.9008973,40.9133773,7.43631378833333,24.4602966666667,24.4602966666667,6.97636096666667,470.405328,68.86366,8.550681,51.8600561578915,193.808019,34.081274,34.081274,162.329523
9853,12.0688081375,17.7924543916667,60.45594918906,424.073584062874,26.09046,-3.3399842,29.4304442,10.0892030666667,7.68911345,17.2776795,6.92630006666667,1253.452066,145.92288,77.36709,18.9123354780292,373.68942,269.727866,271.83038,303.983686
9854,12.4595265776667,17.196820178,60.4064743758058,412.738717363277,26.021343,-2.447162,28.468505,10.5577657,17.5236184,17.5236184,7.46704727333333,1255.617735,148.88089,75.44939,19.5456943934782,378.979425,264.97974,264.97974,308.25666
9855,13.9892172583333,21.91787565,55.6675856763813,678.558125957137,36.116096,-3.2566833,39.3727793,6.53331101666667,22.839195,22.839195,6.08938581666667,586.64503,79.790146,15.026405,46.2637735099717,227.918916,55.57925,55.57925,190.99707
9856,14.0094106683333,21.7644184966667,55.2514880917135,683.658624385609,36.153008,-3.2385437,39.3915517,6.47154726666667,22.913796,22.913796,6.03740036666667,600.874944,84.52691,12.900215,48.5724506166547,237.42211,53.490757,53.490757,200.127813
9857,15.6254924543333,22.603145758,55.3334811168155,716.160444695796,38.33211,-2.5168395,40.8489495,7.68200058666667,24.91632725,24.91632725,7.18965066666667,475.053548,69.46689,9.153552,51.2143338472223,192.02559,36.060462,36.060462,160.580646
9858,11.0305215041667,21.523897075,57.349308608867,616.600083420548,32.18328,-5.3479433,37.5312233,4.34544475,19.068479,19.068479,3.91556178333333,788.970627,98.85134,31.986506,36.0467978365977,268.605126,108.118949,108.118949,221.467038
9859,14.60538935,22.2793823,55.5999765155958,693.845082113586,37.040337,-3.0305114,40.0708484,6.94954235,23.6457455833333,23.6457455833333,6.50422578333333,533.488774,76.771034,10.303793,50.3134195638996,216.037528,42.807175,42.807175,181.748679
9860,11.0746428625,21.5519386916667,58.9079858733991,572.206581173481,30.55572,-6.0300474,36.5857674,16.4982563333333,5.71276221666667,18.3354352333333,4.26060985,884.401641,115.79372,46.63312,22.9931135960052,267.390972,173.59637,229.974262,194.26387
9861,14.0470489229167,22.7514873208333,56.3342529581611,688.034774052322,36.681866,-3.7047303,40.3865963,6.56389775,23.0717955,23.0717955,6.03392955,515.664655,70.22774,11.68379,47.4808718695278,203.78072,47.329863,47.329863,166.025377
9862,15.2563241958333,22.7097311083333,55.661540854531,707.473704118742,37.957817,-2.841864,40.799681,7.44376821666667,24.4588149166667,24.4588149166667,6.9517276,483.813183,69.678795,9.440956,50.805835778926,195.902393,36.86513,36.86513,163.479663
9864,14.8695018070833,18.8823345525,56.6409598971561,584.123586569929,32.21507,-1.1218201,33.3368901,15.1507017333333,9.22446512833333,22.6124898333333,8.23465781666667,833.068851,99.69403,50.01561,23.036222799249,263.02262,158.033612,176.357823,185.935174
9866,10.36927883125,21.9009193375,58.0507814804788,615.407728588827,31.249592,-6.477582,37.727174,3.66177778333333,18.2199196666667,18.2199196666667,3.09454951666667,754.170227,86.61302,42.645554,26.5848562111147,244.72,138.950528,138.950528,202.246284
9867,12.6890482958333,22.439416575,56.5379316269319,659.787129638978,34.928864,-4.760272,39.689136,5.49194115,21.2972028333333,21.2972028333333,5.02228383333333,582.023827,73.17085,18.40672,41.4208444366262,216.39081,65.000636,65.000636,178.229474
9868,13.7234325929167,19.6353049808333,57.0533385537223,587.553470664804,31.40694,-3.0087585,34.4156985,18.2844260833333,8.18074742166667,21.4984723333333,6.99656353333333,937.049232,113.07279,49.616943,23.7084624349791,290.79282,160.976487,227.32141,185.016938
9869,16.3995746916667,18.92505695,53.6688901420068,600.013479069096,35.803642,0.5410217,35.2626203,10.06465835,24.218296,24.218296,9.42632833333333,900.7425654,192.6203,3.829549,70.4080310716789,417.66247,25.2365724,25.2365724,375.22781
9870,15.0281166066667,22.8424797866667,55.8957648020287,715.368185320137,36.67808,-4.1881285,40.8662085,20.0782816333333,8.23356303333333,24.4046078333333,6.65409928333333,581.17198,69.34468,23.691162,29.4624350074817,172.036689,110.704236,119.286877,137.311345
9871,11.9762653458333,21.3046753083333,56.3719515045477,638.626556851857,33.341705,-4.451337,37.793042,5.06745396666667,20.3320165666667,20.3320165666667,4.609446,760.785057,95.46379,26.69198,39.5942662352861,270.92113,93.862341,93.862341,225.585791
9873,18.2995697375,20.988474525,53.6876480207484,690.284204026502,39.944633,0.8509582,39.0936748,10.65147885,27.1412331666667,27.1412331666667,10.0769346333333,608.3965577,124.7148,4.3204207,67.2688845106234,279.62291,20.0915747,20.0915747,249.508483
9874,11.0546437958333,21.6267152416667,58.6667792807688,583.550851748426,30.685627,-6.1780214,36.8636484,4.74941598333333,7.19039125,18.4293559666667,4.1194316,908.118618,113.74905,53.534943,22.6599370049412,265.09211,191.24859,199.713167,222.795933
9875,12.70378020625,16.8180544208333,60.412559116265,405.013127083109,25.955988,-1.8826844,27.8386724,10.8642028716667,17.6656635,17.6656635,7.81260799166667,1256.291515,150.73471,73.979706,20.0909812930144,382.410425,259.934796,259.934796,311.02319
