ID,match_1001G_250K,final1001G_name,final1001G_CS,final1001G_country,final1001G_latitude,final1001G_longitude,dat250K_name,dat250K_CS,dat250K_country,dat250K_latitude,dat250K_longitude,RegMap_name,RegMap_CS,RegMap_country,RegMap_latitude,RegMap_longitude,old1001G_name,old1001G_CS,old1001G_country,old1001G_latitude,old1001G_longitude
202,no,,,,,,MIB-57, ,France,47.3833,5.31667,MIB-57, ,France,47.3833,5.31667,,,,,
203,no,,,,,,MIB-58, ,France,47.3833,5.31667,MIB-58, ,France,47.3833,5.31667,,,,,
204,no,,,,,,MIB-60, ,France,47.3833,5.31667,MIB-60, ,France,47.3833,5.31667,,,,,
205,no,,,,,,MIB-61, ,France,47.3833,5.31667,MIB-61, ,France,47.3833,5.31667,,,,,
206,no,,,,,,MIB-62, ,France,47.3833,5.31667,MIB-62, ,France,47.3833,5.31667,,,,,
207,no,,,,,,MIB-63, ,France,47.3833,5.31667,MIB-63, ,France,47.3833,5.31667,,,,,
208,no,,,,,,MIB-64, ,France,47.3833,5.31667,MIB-64, ,France,47.3833,5.31667,,,,,
210,no,,,,,,MIB-67, ,France,47.3833,5.31667,MIB-67, ,France,47.3833,5.31667,,,,,
212,no,,,,,,MIB-69, ,France,47.3833,5.31667,MIB-69, ,France,47.3833,5.31667,,,,,
213,no,,,,,,MIB-70, ,France,47.3833,5.31667,MIB-70, ,France,47.3833,5.31667,,,,,
214,no,,,,,,MIB-73, ,France,47.3833,5.31667,MIB-73, ,France,47.3833,5.31667,,,,,
215,no,,,,,,MIB-75, ,France,47.3833,5.31667,MIB-75, ,France,47.3833,5.31667,,,,,
216,no,,,,,,MIB-76, ,France,47.3833,5.31667,MIB-76, ,France,47.3833,5.31667,,,,,
217,no,,,,,,MIB-77, ,France,47.3833,5.31667,MIB-77, ,France,47.3833,5.31667,,,,,
219,no,,,,,,MIB-80, ,France,47.3833,5.31667,MIB-80, ,France,47.3833,5.31667,,,,,
222,no,,,,,,MIB-83, ,France,47.3833,5.31667,MIB-83, ,France,47.3833,5.31667,,,,,
223,no,,,,,,MIB-84, ,France,47.3833,5.31667,MIB-84, ,France,47.3833,5.31667,,,,,
224,no,,,,,,MIB-86, ,France,47.3833,5.31667,MIB-86, ,France,47.3833,5.31667,,,,,
225,no,,,,,,MIB-87, ,France,47.3833,5.31667,MIB-87, ,France,47.3833,5.31667,,,,,
227,no,,,,,,MIB-89, ,France,47.3833,5.31667,MIB-89, ,France,47.3833,5.31667,,,,,
228,no,,,,,,MIB-9, ,France,47.3833,5.31667,MIB-9, ,France,47.3833,5.31667,,,,,
229,no,,,,,,MIB-90, ,France,47.3833,5.31667,MIB-90, ,France,47.3833,5.31667,,,,,
230,no,,,,,,MIB-92, ,France,47.3833,5.31667,MIB-92, ,France,47.3833,5.31667,,,,,
231,no,,,,,,MIB-93, ,France,47.3833,5.31667,MIB-93, ,France,47.3833,5.31667,,,,,
236,no,,,,,,MOG-11, ,France,48.6667,-4.06667,MOG-11, ,France,48.6667,-4.06667,,,,,
237,no,,,,,,MOG-12, ,France,48.6667,-4.06667,MOG-12, ,France,48.6667,-4.06667,,,,,
242,no,,,,,,MOG-37, ,France,48.6667,-4.06667,MOG-37, ,France,48.6667,-4.06667,,,,,
244,no,,,,,,MOG-40, ,France,48.6667,-4.06667,MOG-40, ,France,48.6667,-4.06667,,,,,
252,no,,,,,,MOG-55, ,France,48.6667,-4.06667,MOG-55, ,France,48.6667,-4.06667,,,,,
257,no,,,,,,PAR-10, ,France,46.65,-0.25,PAR-10, ,France,46.65,-0.25,,,,,
258,no,,,,,,PAR-3, ,France,46.65,-0.25,PAR-3, ,France,46.65,-0.25,,,,,
259,no,,,,,,PAR-4, ,France,46.65,-0.25,PAR-4, ,France,46.65,-0.25,,,,,
260,no,,,,,,PAR-5, ,France,46.65,-0.25,PAR-5, ,France,46.65,-0.25,,,,,
261,no,,,,,,PAR-6, ,France,46.65,-0.25,PAR-6, ,France,46.65,-0.25,,,,,
262,no,,,,,,PAR-8, ,France,46.65,-0.25,PAR-8, ,France,46.65,-0.25,,,,,
263,no,,,,,,PAR-9, ,France,46.65,-0.25,PAR-9, ,France,46.65,-0.25,,,,,
264,no,,,,,,PON, ,France,45.75,4.71667,PON, ,France,45.75,4.71667,,,,,
265,no,PYL-6,CS77198,FRA,44.65,-1.16667,,,,,,,,,,,PYL-6,PYL-6,FRA,44.65,-1.16667
266,no,,,,,,RAN, ,France,48.65,-2,RAN, ,France,48.65,-2,,,,,
267,no,,,,,,ROM-1, ,France,45.5333,4.85,ROM-1, ,France,45.5333,4.85,,,,,
268,no,,,,,,ROM-2, ,France,45.5333,4.85,ROM-2, ,France,45.5333,4.85,,,,,
269,no,,,,,,ROM-9, ,France,45.5333,4.85,ROM-9, ,France,45.5333,4.85,,,,,
273,no,,,,,,TOU-A1-105, ,France,46.6667,4.11667,TOU-A1-105, ,France,46.6667,4.11667,,,,,
275,no,,,,,,TOU-A1-109, ,France,46.6667,4.11667,TOU-A1-109, ,France,46.6667,4.11667,,,,,
277,no,,,,,,TOU-A1-111, ,France,46.6667,4.11667,TOU-A1-111, ,France,46.6667,4.11667,,,,,
278,no,,,,,,TOU-A1-112, ,France,46.6667,4.11667,TOU-A1-112, ,France,46.6667,4.11667,,,,,
280,no,,,,,,TOU-A1-114, ,France,46.6667,4.11667,TOU-A1-114, ,France,46.6667,4.11667,,,,,
281,no,,,,,,TOU-A1-115, ,France,46.6667,4.11667,TOU-A1-115, ,France,46.6667,4.11667,,,,,
282,no,,,,,,TOU-A1-116, ,France,46.6667,4.11667,TOU-A1-116, ,France,46.6667,4.11667,,,,,
283,no,,,,,,TOU-A1-117, ,France,46.6667,4.11667,TOU-A1-117, ,France,46.6667,4.11667,,,,,
287,no,,,,,,TOU-A1-120, ,France,46.6667,4.11667,TOU-A1-120, ,France,46.6667,4.11667,,,,,
288,no,,,,,,TOU-A1-122, ,France,46.6667,4.11667,TOU-A1-122, ,France,46.6667,4.11667,,,,,
290,no,,,,,,TOU-A1-124, ,France,46.6667,4.11667,TOU-A1-124, ,France,46.6667,4.11667,,,,,
291,no,,,,,,TOU-A1-125, ,France,46.6667,4.11667,TOU-A1-125, ,France,46.6667,4.11667,,,,,
292,no,,,,,,TOU-A1-128, ,France,46.6667,4.11667,TOU-A1-128, ,France,46.6667,4.11667,,,,,
293,no,,,,,,TOU-A1-129, ,France,46.6667,4.11667,TOU-A1-129, ,France,46.6667,4.11667,,,,,
295,no,,,,,,TOU-A1-131, ,France,46.6667,4.11667,TOU-A1-131, ,France,46.6667,4.11667,,,,,
296,no,,,,,,TOU-A1-133, ,France,46.6667,4.11667,TOU-A1-133, ,France,46.6667,4.11667,,,,,
297,no,,,,,,TOU-A1-134, ,France,46.6667,4.11667,TOU-A1-134, ,France,46.6667,4.11667,,,,,
298,no,,,,,,TOU-A1-137, ,France,46.6667,4.11667,TOU-A1-137, ,France,46.6667,4.11667,,,,,
302,no,,,,,,TOU-A1-143, ,France,46.6667,4.11667,TOU-A1-143, ,France,46.6667,4.11667,,,,,
