CODES,SITE,PLOT,DATE,SAMPLE_ID,NUMBER_FLOWERS_COLLECTED,TO_SKIP,REPLICATES
FH,1,5,20200323,FH-01-05-20200323,6,,
FH,1,5,20200406,FH-01-05-20200406,35,,
FH,1,5,20200420,FH-01-05-20200420,20,,
FH,1,5,20200504,FH-01-05-20200504,7,,
FH,1,5,20200518,FH-01-05-20200518,4,,
FH,1,6,20200323,FH-01-06-20200323,4,,
FH,1,6,20200406,FH-01-06-20200406,15,,
FH,1,6,20200420,FH-01-06-20200420,12,,
FH,1,6,20200504,FH-01-06-20200504,7,,
FH,1,6,20200518,FH-01-06-20200518,6,,
FH,4,3,20200206,FH-04-03-20200206,30,,
FH,4,5,20200206,FH-04-05-20200206,80,,
FH,5,3,20200207,FH-05-03-20200207,30,,
FH,5,3,20200224,FH-05-03-20200224,42,,
FH,5,3,20200312,FH-05-03-20200312,100,,
FH,5,4,20200207,FH-05-04-20200207,103,,
FH,5,4,20200224,FH-05-04-20200224,106,,
FH,5,4,20200312,FH-05-04-20200312,105,,
FH,9,7,20200411,FH-09-07-20200411,9,,
FH,9,7,20200425,FH-09-07-20200425,14,,
FH,9,7,20200509,FH-09-07-20200509,10,,
FH,9,7,20200523,FH-09-07-20200523,6,,
FH,9,7,20200606,FH-09-07-20200606,2,,
FH,9,8,20200523,FH-09-08-20200523,1,,
FH,13,5,20200205,FH-13-05-20200205,1,,
FH,13,8,20200205,FH-13-08-20200205,1,,
FH,13,8,20200221,FH-13-08-20200221,1,,
FH,13,8,20200312,FH-13-08-20200312,2,,
FH,13,8,20200326,FH-13-08-20200326,3,,
FH,13,8,20200409,FH-13-08-20200409,1,,
FH,27,6,20200623,FH-27-06-20200623,1,,
FH,27,7,20200505,FH-27-07-20200505,1,,
FH,27,7,20200609,FH-27-07-20200609,5,,
FH,28,15,20180309,FH-28-15-20180309,134,,
FH,28,15,20180325,FH-28-15-20180325,111,,
FH,28,15,20180408,FH-28-15-20180408,88,,
FH,28,15,20180422,FH-28-15-20180422,63,,
FH,28,16,20180309,FH-28-16-20180309,49,,
FH,28,16,20180325,FH-28-16-20180325,63,,
FH,28,16,20180408,FH-28-16-20180408,50,,
FH,28,16,20180422,FH-28-16-20180422,17,,
FH,28,15,20190308,FH-28-15-20190308,4,,
FH,28,15,20190322,FH-28-15-20190322,11,,
FH,28,15,20190407,FH-28-15-20190407,8,,
FH,28,16,20190308,FH-28-16-20190308,2,,
FH,28,16,20190322,FH-28-16-20190322,13,,
FH,28,16,20190407,FH-28-16-20190407,12,,
