ID	name	country	weight_put_on_master_mix (g)	estimated number of seeds in total
9804	Obe1-15	GER	0.31	16089
9813	BI-4	GER	0.3329	17277.51
9814	Fell1-10	GER	0.3095	16063.05
9820	Are-0	ESP	0.3158	16390.02
9837	Con-0	ESP	0.30437	15796.803
9857	Leg-0	ESP	0.3089	16031.91
9879	Per-0	ESP	0.3028	15715.32
9910	BRI-2	FRA	0.3094	16057.86
9920	DIR-9	FRA	0.3059	15876.21
9921	FOR-23	FRA	0.3075	15959.25
9925	RUM-20	FRA	0.3031	15730.89
9933	VED-10	FRA	0.3034	15746.46
9940	Toufl-1	MAR	0.3031	15730.89
9941	Fei-0	POR	0.2987	15502.53
9944	Don-0	ESP	0.301	15621.9
9947	Ped-0	ESP	0.3021	15678.99
9965	Mammo-2	ITA	0.2454	12736.26
9966	Monte-1	ITA	0.1615	8381.85
9977	Vezzano2-1	ITA	0.1004	5210.76
9978	Vezzano2-2	ITA	0.066	3425.4
9985	Slavi-1	BUL	0.2487	12907.53
9992	Dog-4	TUR	0.3007	15606.33
10002	TueWa1-2	GER	0.2338	12134.22
10006	Kastel-1	UKR	0.3075	15959.25
10011	Yeg-1	ARM	0.0489	2537.91
10013	Lerik1-3	AZE	0.1704	8843.76
10014	Xan-1	AZE	0.3026	15704.94
100001	Ziv-24208	ISR	0.1032	5356.08
100002	Her-	ISR	0.0611	3171.09
