fastq sample_id sra_folder date_released id unit_seq_run release_lane
MLFH_5_2_20180411_CKDL210000711-1a-7UDI1971-AK20024_HFLJFCCX2_L6_1.fq.gz MLFH_5_2_20180411 2021-01-29-ath-release-01 2021-01-29 MLFH050220180411 1 L6
MLFH_5_2_20180411_CKDL210000711-1a-7UDI1971-AK20024_HFLHHCCX2_L2_1.fq.gz MLFH_5_2_20180411 2021-02-18-ath-release-03 2021-02-18 MLFH050220180411 2 L6
MLFH_5_2_20180426_CKDL210000711-1a-AK11638-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_5_2_20180426 2021-01-29-ath-release-01 2021-01-29 MLFH050220180426 1 L6
MLFH_5_2_20180426_CKDL210000711-1a-AK11638-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_5_2_20180426 2021-02-18-ath-release-03 2021-02-18 MLFH050220180426 2 L6
MLFH_5_2_20190312_CKDL210000711-1a-AK28238-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_5_2_20190312 2021-01-29-ath-release-01 2021-01-29 MLFH050220190312 1 L6
MLFH_5_2_20190312_CKDL210000711-1a-AK28238-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_5_2_20190312 2021-02-18-ath-release-03 2021-02-18 MLFH050220190312 2 L6
MLFH_6_1_20180328_CKDL210000711-1a-AK9787-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_6_1_20180328 2021-01-29-ath-release-01 2021-01-29 MLFH060120180328 1 L6
MLFH_6_1_20180328_CKDL210000711-1a-AK9787-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_6_1_20180328 2021-02-18-ath-release-03 2021-02-18 MLFH060120180328 2 L6
MLFH_6_1_20180412_CKDL210000711-1a-AK10689-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_6_1_20180412 2021-01-29-ath-release-01 2021-01-29 MLFH060120180412 1 L6
MLFH_6_1_20180412_CKDL210000711-1a-AK10689-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_6_1_20180412 2021-02-18-ath-release-03 2021-02-18 MLFH060120180412 2 L6
MLFH_6_1_20180425_CKDL210000711-1a-AK34068-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_6_1_20180425 2021-01-29-ath-release-01 2021-01-29 MLFH060120180425 1 L6
MLFH_6_1_20180425_CKDL210000711-1a-AK34068-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_6_1_20180425 2021-02-18-ath-release-03 2021-02-18 MLFH060120180425 2 L6
MLFH_6_2_20180328_CKDL210000711-1a-AK31398-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_6_2_20180328 2021-01-29-ath-release-01 2021-01-29 MLFH060220180328 1 L6
MLFH_6_2_20180328_CKDL210000711-1a-AK31398-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_6_2_20180328 2021-02-18-ath-release-03 2021-02-18 MLFH060220180328 2 L6
MLFH_6_2_20180412_CKDL210000711-1a-AK7838-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_6_2_20180412 2021-01-29-ath-release-01 2021-01-29 MLFH060220180412 1 L6
MLFH_6_2_20180412_CKDL210000711-1a-AK7838-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_6_2_20180412 2021-02-18-ath-release-03 2021-02-18 MLFH060220180412 2 L6
MLFH_6_2_20180425_CKDL210000711-1a-AK34069-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_6_2_20180425 2021-01-29-ath-release-01 2021-01-29 MLFH060220180425 1 L6
MLFH_6_2_20180425_CKDL210000711-1a-AK34069-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_6_2_20180425 2021-02-18-ath-release-03 2021-02-18 MLFH060220180425 2 L6
MLFH_6_2_20190212_CKDL210000711-1a-AK34070-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_6_2_20190212 2021-01-29-ath-release-01 2021-01-29 MLFH060220190212 1 L6
MLFH_6_2_20190212_CKDL210000711-1a-AK34070-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_6_2_20190212 2021-02-18-ath-release-03 2021-02-18 MLFH060220190212 2 L6
MLFH_6_2_20190226_CKDL210000711-1a-7UDI1539-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_6_2_20190226 2021-01-29-ath-release-01 2021-01-29 MLFH060220190226 1 L6
MLFH_6_2_20190226_CKDL210000711-1a-7UDI1539-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_6_2_20190226 2021-02-18-ath-release-03 2021-02-18 MLFH060220190226 2 L6
MLFH_9_1_20180420_CKDL210000711-1a-7UDI1971-AK9012_HFLJFCCX2_L6_1.fq.gz MLFH_9_1_20180420 2021-01-29-ath-release-01 2021-01-29 MLFH090120180420 1 L6
MLFH_9_1_20180420_CKDL210000711-1a-7UDI1971-AK9012_HFLHHCCX2_L2_1.fq.gz MLFH_9_1_20180420 2021-02-18-ath-release-03 2021-02-18 MLFH090120180420 2 L6
MLFH_9_1_20180504_CKDL210000711-1a-AK11638-AK8944_HFLJFCCX2_L6_1.fq.gz MLFH_9_1_20180504 2021-01-29-ath-release-01 2021-01-29 MLFH090120180504 1 L6
MLFH_9_1_20180504_CKDL210000711-1a-AK11638-AK8944_HFLHHCCX2_L2_1.fq.gz MLFH_9_1_20180504 2021-02-18-ath-release-03 2021-02-18 MLFH090120180504 2 L6
MLFH_9_1_20180518_CKDL210000711-1a-AK33987-AK8944_HFLJFCCX2_L6_1.fq.gz MLFH_9_1_20180518 2021-01-29-ath-release-01 2021-01-29 MLFH090120180518 1 L6
MLFH_9_1_20180518_CKDL210000711-1a-AK33987-AK8944_HFLHHCCX2_L2_1.fq.gz MLFH_9_1_20180518 2021-02-18-ath-release-03 2021-02-18 MLFH090120180518 2 L6
MLFH_9_1_20180531_CKDL210000711-1a-AK28238-AK8944_HFLJFCCX2_L6_1.fq.gz MLFH_9_1_20180531 2021-01-29-ath-release-01 2021-01-29 MLFH090120180531 1 L6
MLFH_9_1_20180531_CKDL210000711-1a-AK28238-AK8944_HFLHHCCX2_L2_1.fq.gz MLFH_9_1_20180531 2021-02-18-ath-release-03 2021-02-18 MLFH090120180531 2 L6
MLFH_9_2_20180420_CKDL210000711-1a-AK9787-AK8944_HFLJFCCX2_L6_1.fq.gz MLFH_9_2_20180420 2021-01-29-ath-release-01 2021-01-29 MLFH090220180420 1 L6
MLFH_9_2_20180420_CKDL210000711-1a-AK9787-AK8944_HFLHHCCX2_L2_1.fq.gz MLFH_9_2_20180420 2021-02-18-ath-release-03 2021-02-18 MLFH090220180420 2 L6
MLFH_9_2_20180504_CKDL210000711-1a-AK10689-AK8944_HFLJFCCX2_L6_1.fq.gz MLFH_9_2_20180504 2021-01-29-ath-release-01 2021-01-29 MLFH090220180504 1 L6
MLFH_9_2_20180504_CKDL210000711-1a-AK10689-AK8944_HFLHHCCX2_L2_1.fq.gz MLFH_9_2_20180504 2021-02-18-ath-release-03 2021-02-18 MLFH090220180504 2 L6
MLFH_9_2_20180518_CKDL210000711-1a-AK34068-AK8944_HFLJFCCX2_L6_1.fq.gz MLFH_9_2_20180518 2021-01-29-ath-release-01 2021-01-29 MLFH090220180518 1 L6
MLFH_9_2_20180518_CKDL210000711-1a-AK34068-AK8944_HFLHHCCX2_L2_1.fq.gz MLFH_9_2_20180518 2021-02-18-ath-release-03 2021-02-18 MLFH090220180518 2 L6
MLFH_9_2_20180531_CKDL210000711-1a-AK31398-AK8944_HFLJFCCX2_L6_1.fq.gz MLFH_9_2_20180531 2021-01-29-ath-release-01 2021-01-29 MLFH090220180531 1 L6
MLFH_9_2_20180531_CKDL210000711-1a-AK31398-AK8944_HFLHHCCX2_L2_1.fq.gz MLFH_9_2_20180531 2021-02-18-ath-release-03 2021-02-18 MLFH090220180531 2 L6
MLFH_9_2_20190604_CKDL210000711-1a-AK7838-AK8944_HFLJFCCX2_L6_1.fq.gz MLFH_9_2_20190604 2021-01-29-ath-release-01 2021-01-29 MLFH090220190604 1 L6
MLFH_9_2_20190604_CKDL210000711-1a-AK7838-AK8944_HFLHHCCX2_L2_1.fq.gz MLFH_9_2_20190604 2021-02-18-ath-release-03 2021-02-18 MLFH090220190604 2 L6
MLFH010320180409_CKDL210001610-1a-AK10689-AK8191_HFLJCCCX2_L5_1.fq.gz MLFH010320180409 2021-02-15-ath-release-02 2021-02-15 MLFH010320180409 1 L6
MLFH010320180423_CKDL210001610-1a-AK34068-AK8191_HFLJCCCX2_L5_1.fq.gz MLFH010320180423 2021-02-15-ath-release-02 2021-02-15 MLFH010320180423 1 L6
MLFH010320180507_CKDL210001610-1a-AK31398-AK8191_HFLJCCCX2_L5_1.fq.gz MLFH010320180507 2021-02-15-ath-release-02 2021-02-15 MLFH010320180507 1 L6
MLFH010320180518_CKDL210001610-1a-AK7838-AK8191_HFLJCCCX2_L5_1.fq.gz MLFH010320180518 2021-02-15-ath-release-02 2021-02-15 MLFH010320180518 1 L6
MLFH010320190401_CKDL210001610-1a-AK11638-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010320190401 2021-02-15-ath-release-02 2021-02-15 MLFH010320190401 1 L6
MLFH010320190415_CKDL210001610-1a-AK33987-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010320190415 2021-02-15-ath-release-02 2021-02-15 MLFH010320190415 1 L6
MLFH010320190429_CKDL210001610-1a-AK28238-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010320190429 2021-02-15-ath-release-02 2021-02-15 MLFH010320190429 1 L6
MLFH010320190513_CKDL210001610-1a-AK9787-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010320190513 2021-02-15-ath-release-02 2021-02-15 MLFH010320190513 1 L6
MLFH010320190528_CKDL210001610-1a-AK10689-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010320190528 2021-02-15-ath-release-02 2021-02-15 MLFH010320190528 1 L6
MLFH010420180409_CKDL210001610-1a-AK34069-AK8191_HFLJCCCX2_L5_1.fq.gz MLFH010420180409 2021-02-15-ath-release-02 2021-02-15 MLFH010420180409 1 L6
MLFH010420180423_CKDL210001610-1a-AK34070-AK8191_HFLJCCCX2_L5_1.fq.gz MLFH010420180423 2021-02-15-ath-release-02 2021-02-15 MLFH010420180423 1 L6
MLFH010420180507_CKDL210001610-1a-7UDI1539-AK8191_HFLJCCCX2_L5_1.fq.gz MLFH010420180507 2021-02-15-ath-release-02 2021-02-15 MLFH010420180507 1 L6
MLFH010420180518_CKDL210001610-1a-7UDI1971-AK8191_HFLJCCCX2_L5_1.fq.gz MLFH010420180518 2021-02-15-ath-release-02 2021-02-15 MLFH010420180518 1 L6
MLFH010420190401_CKDL210001610-1a-AK34068-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010420190401 2021-02-15-ath-release-02 2021-02-15 MLFH010420190401 1 L6
MLFH010420190415_CKDL210001610-1a-AK31398-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010420190415 2021-02-15-ath-release-02 2021-02-15 MLFH010420190415 1 L6
MLFH010420190429_CKDL210001610-1a-AK7838-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010420190429 2021-02-15-ath-release-02 2021-02-15 MLFH010420190429 1 L6
MLFH010420190513_CKDL210001610-1a-AK34069-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010420190513 2021-02-15-ath-release-02 2021-02-15 MLFH010420190513 1 L6
MLFH010420190528_CKDL210001610-1a-AK34070-AK20024_HFLJCCCX2_L5_1.fq.gz MLFH010420190528 2021-02-15-ath-release-02 2021-02-15 MLFH010420190528 1 L6
MLFH010520180409_CKDL210006836-1a-7UDI1539-AK20024_HFH7VCCX2_L7_1.fq.gz MLFH010520180409 2021-04-21-ath-release-06 2021-04-21 MLFH010520180409 1 L6
MLFH010520180423_CKDL210006836-1a-7UDI1971-AK20024_HFH7VCCX2_L7_1.fq.gz MLFH010520180423 2021-04-21-ath-release-06 2021-04-21 MLFH010520180423 1 L6
MLFH010520180507_CKDL210006836-1a-AK11638-AK9012_HFH7VCCX2_L7_1.fq.gz MLFH010520180507 2021-04-21-ath-release-06 2021-04-21 MLFH010520180507 1 L6
