,id,Sequenced by,Name,Country,Lat,Long,Collector,CS Number,Admixture Group
86,2031,MPI,Map-8,USA,42.166,-86.412,Diane Byers,CS78983,ltblu_circle
87,2053,MPI,Map-35,USA,42.166,-86.412,Diane Byers,CS78984,ltblu_circle
88,2057,MPI,Map-42,USA,42.166,-86.412,Diane Byers,CS77732,ltblu_circle
89,2081,MPI,MuskSP-68,USA,43.2483,-86.3368,Diane Byers,CS78985,ltblu_circle
90,2091,MPI,MuskSP-83,USA,43.2483,-86.3368,Diane Byers,CS78986,ltblu_circle
91,2106,MPI,MSGA-10,USA,43.2749,-86.0891,Diane Byers,CS78987,ltblu_circle
92,2108,MPI,MSGA-12,USA,43.2749,-86.0891,Diane Byers,CS78988,ltblu_circle
93,2141,MPI,MSGA-61,USA,43.2749,-86.0891,Diane Byers,CS78989,ltblu_circle
94,2159,MPI,Paw-13,USA,42.148,-86.431,Diane Byers,CS78990,ltblu_circle
95,2166,MPI,Paw-20,USA,42.148,-86.431,Diane Byers,CS78991,ltblu_circle
96,2171,Monsanto,Paw-26,USA,42.148,-86.431,Diane Byers,CS77164,ltblu_circle
97,2191,MPI,Pent-7,USA,43.7623,-86.3929,Diane Byers,CS78992,ltblu_circle
98,2202,Monsanto,Pent-23,USA,43.7623,-86.3929,Diane Byers,CS77168,forbidden
99,2212,MPI,Pent-46,USA,43.7623,-86.3929,Diane Byers,CS78993,ltblu_circle
100,2239,MPI,Riv-25,USA,42.184,-86.382,Diane Byers,CS78994,ltblu_circle
101,2240,MPI,Riv-26,USA,42.184,-86.382,Diane Byers,CS78995,ltblu_circle
102,2276,Monsanto,SLSP-31,USA,43.665,-86.496,Diane Byers,CS77254,forbidden
103,2278,Monsanto,SLSP-35,USA,43.665,-86.496,Diane Byers,CS77255,ltblu_circle
104,2285,MPI,SLSP-69,USA,43.665,-86.496,Diane Byers,CS78996,ltblu_circle
105,2286,MPI,SLSP-67,USA,43.665,-86.496,Diane Byers,CS78997,ltblu_circle
106,2317,Monsanto,Ste-40,USA,42.03,-86.514,Diane Byers,CS77278,forbidden
107,2370,MPI,Yng-4,USA,41.865,-86.646,Diane Byers,CS78998,ltblu_circle
108,2412,MPI,Yng-53,USA,41.865,-86.646,Diane Byers,CS78999,ltblu_circle
109,4779,Monsanto,UKSW06-179,UK,50.4,-4.9,Eric Holub,CS78808,blu_circle
110,4807,Monsanto,UKSW06-207,UK,50.4,-4.9,Eric Holub,CS78809,blu_circle
111,4826,Monsanto,UKSW06-226,UK,50.4,-4.9,Eric Holub,CS78810,blu_circle
112,4840,MPI,UKSW06-240,UK,50.4,-4.9,Eric Holub,CS79000,blu_circle
113,4857,MPI,UKSW06-257,UK,50.3,-4.9,Eric Holub,CS79001,blu_circle
114,4884,Monsanto,UKSW06-285,UK,50.3,-4.9,Eric Holub,CS78811,blu_circle
115,4900,Monsanto,UKSW06-302,UK,50.3,-4.8,Eric Holub,CS78812,blu_circle
116,4939,MPI,UKSW06-341,UK,50.4,-4.7,Eric Holub,CS79002,blu_circle
117,4958,Monsanto,UKSW06-360,UK,50.5,-4.5,Eric Holub,CS78814,blu_circle
118,5023,Monsanto,UKSE06-118,UK,51.3,0.5,Eric Holub,CS78799,blu_circle
